Charles,Kaleidoscope,Net News,Versions
1,2,1,0
2,0,0,1
1,1,1,0
2,10,0,1
1,3,1,0
1,6,0,1
7,4,0,0
1,0,0,1
1,0,0,1
3,0,2,1
1,0,0,11
1,0,1,0
2,0,0,1
1,5,1,2
2,0,0,2
2,5,0,2
1,--,0,1
6,--,0,4
1,--,1,3
1,--,--,1
1,--,--,12
1,--,--,0
5,--,--,4
1,--,--,0
1,--,--,0
1,--,--,1
3,--,--,0
0,--,--,1
11,--,--,0
1,--,--,2
4,--,--,0
1,--,--,0
1,--,--,0
3,--,--,0
3,--,--,0
3,--,--,0
1,--,--,0
6,--,--,--
2,--,--,--
2,--,--,--
2,--,--,--
1,--,--,--
1,--,--,--
1,--,--,--
3,--,--,--
1,--,--,--
1,--,--,--
2,--,--,--
